region,date,dis,id,catg,target,cons_level_1_sum,cons_level_1_mean,cons_level_1_max,cons_level_1_std,cons_level_2_sum,cons_level_2_mean,cons_level_2_max,cons_level_2_std,cons_level_3_sum,cons_level_3_mean,cons_level_3_max,cons_level_3_std,cons_level_4_sum,cons_level_4_mean,cons_level_4_max,cons_level_4_std,num_invoices
101,31/12/1994,60,0,11,0,12334,352.4,1200,310.34347196007724,370,10.571428571428571,186,43.568935043679176,0,0.0,0,0.0,0,0.0,0,0.0,35
107,29/5/2002,69,1,11,0,20629,557.5405405405405,1207,197.93595970450684,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,37
301,13/3/1986,62,10,11,0,14375,798.6111111111111,2400,513.841373885307,682,37.888888888888886,682,160.7489415897418,0,0.0,0,0.0,0,0.0,0,0.0,18
105,11/7/1996,69,100,11,0,24,1.2,15,3.6070107174486568,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,20
303,14/10/2014,62,1000,11,0,9292,663.7142857142857,800,224.83136537668148,1468,104.85714285714286,400,167.15532028296644,1643,117.35714285714286,800,289.43329433244526,514,36.714285714285715,382,105.4210813623366,14
103,29/9/1993,69,10000,11,0,16901,352.1041666666667,1414,356.06091037512545,501,10.4375,400,58.44725072252136,181,3.7708333333333335,181,26.12509968083056,0,0.0,0,0.0,48
309,7/6/2012,62,100000,11,0,11201,280.025,1200,316.7114263238738,262,6.55,262,41.42583734820577,0,0.0,0,0.0,0,0.0,0,0.0,40
101,25/10/2011,60,100003,11,0,4254,850.8,1200,388.97712014975895,8146,1629.2,5624,2326.1124650368906,1600,320.0,800,438.17804600413285,24410,4882.0,15257,7024.667928094537,5
311,30/6/2006,63,100004,12,0,2811,216.23076923076923,658,235.58018940697377,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,13
107,20/5/2005,69,100006,11,0,32633,881.972972972973,2400,393.02378260570146,5867,158.56756756756758,1161,256.4564659331461,2131,57.5945945945946,762,182.1488188053719,0,0.0,0,0.0,37
101,28/5/2009,60,100007,11,0,4573,175.8846153846154,1200,356.4450394574823,456,17.53846153846154,452,88.61658118850254,0,0.0,0,0.0,0,0.0,0,0.0,26
104,22/10/2002,69,100008,11,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,9
311,6/11/2006,63,100009,11,0,1947,54.083333333333336,151,24.214959956900316,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,36
104,25/5/1999,69,100010,11,0,1887,314.5,922,379.91512209966055,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6
311,10/2/2012,63,100011,11,0,14995,384.4871794871795,1800,429.8669850445706,4578,117.3846153846154,1950,328.7389474135346,1514,38.82051282051282,800,143.02371385908657,218,5.589743589743589,218,34.90793752950899,39
101,25/4/2006,60,100012,11,0,16977,1131.8,3600,865.5646546784194,8603,573.5333333333333,3059,785.1823142854573,4836,322.4,1224,415.66844617177424,707,47.13333333333333,436,117.70839675514516,15
101,19/5/1998,60,100014,11,0,838,279.3333333333333,396,101.11544557254015,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3
311,30/11/1999,63,100015,11,0,3877,193.85,635,181.19843005012925,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,20
104,17/11/2011,69,100017,11,0,15928,724.0,3200,847.324978415967,6807,309.40909090909093,1455,393.0488469692998,3319,150.86363636363637,1600,382.043415066496,1512,68.72727272727273,1340,286.2955818261263,22
104,7/11/1983,69,100019,11,0,35400,1072.7272727272727,3200,593.2722431948546,26501,803.060606060606,3979,1061.3721643288568,315,9.545454545454543,315,54.83446162604481,0,0.0,0,0.0,33
101,8/12/2003,60,100020,11,0,29872,807.3513513513514,1630,275.34707554650373,1515,40.945945945945944,376,96.11045322554266,0,0.0,0,0.0,0,0.0,0,0.0,37
104,13/7/2017,69,100021,51,0,2400,266.6666666666667,800,223.60679774997897,1200,133.33333333333334,400,111.80339887498948,2400,266.6666666666667,800,223.60679774997897,36034,4003.777777777778,29654,9626.73369811612,9
306,29/12/1989,63,100023,11,0,2609,652.25,745,103.74126469250317,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4
311,17/10/2014,63,100026,11,0,109,13.625,69,23.69410716371719,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,8
306,19/8/1998,63,100027,11,0,14497,402.69444444444446,2063,390.4570083848226,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,36
301,30/12/1981,62,100029,11,0,1535,255.83333333333337,801,322.28336393097715,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6
101,22/12/1997,60,10003,11,0,5542,791.7142857142857,1200,347.02243649160704,147,21.0,142,53.38851312158201,0,0.0,0,0.0,0,0.0,0,0.0,7
301,17/10/1983,62,100031,11,0,10722,397.1111111111111,1071,262.7243851721849,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,27
308,7/11/2012,63,100032,11,1,7066,392.55555555555554,781,177.55801776659544,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,18
104,9/7/2015,69,100035,11,0,8447,703.9166666666666,1243,351.5007974472613,3600,300.0,400,180.90680674665816,6366,530.5,800,334.3627589093237,2515,209.58333333333337,791,316.33683380890443,12
301,2/1/2012,62,100036,11,0,18014,474.05263157894734,2400,514.6621535436475,3844,101.15789473684212,888,227.9224057526963,1101,28.973684210526315,451,92.41781940089533,0,0.0,0,0.0,38
307,16/9/2009,62,100037,11,1,21041,914.8260869565216,2331,534.2850492330775,1633,71.0,800,177.8878604882607,592,25.73913043478261,592,123.44053312178828,0,0.0,0,0.0,23
306,25/12/2000,63,100038,11,0,12916,416.64516129032256,1571,340.8181869547748,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,31
101,5/5/1998,60,100039,11,0,658,219.33333333333337,654,376.43370376911435,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3
313,3/3/2010,63,100040,11,0,18231,675.2222222222222,1931,369.4484801527535,3096,114.66666666666669,400,162.38084388725926,1322,48.96296296296296,489,127.10095366145929,0,0.0,0,0.0,27
303,22/6/2016,62,100041,11,0,6253,781.625,1600,357.02498411975915,1555,194.375,713,258.0830085180237,337,42.125,337,119.14749262993324,0,0.0,0,0.0,8
101,16/4/1979,60,100042,11,0,577,115.4,339,125.28487538406222,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5
101,13/2/2011,60,100043,11,0,110,27.5,73,32.929217016706204,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4
301,31/10/1984,62,100044,11,0,9011,281.59375,788,168.14641457334432,1258,39.3125,292,69.38040882722052,0,0.0,0,0.0,0,0.0,0,0.0,32
101,23/2/2004,60,100047,11,0,12600,2100.0,2400,501.9960159204453,16727,2787.8333333333335,5230,1707.5907491745984,0,0.0,0,0.0,0,0.0,0,0.0,6
101,26/10/2010,63,100048,11,0,9100,337.037037037037,757,244.6473885602393,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,27
104,8/4/2009,69,10005,11,0,5736,185.03225806451613,465,144.59471725503846,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,31
303,12/3/2003,62,100051,11,0,25835,1291.75,3600,798.0354084612379,10239,511.95,1892,644.320815400135,2498,124.9,1600,381.4439187585702,590,29.5,590,131.9280106724876,20
303,19/2/2007,62,100053,11,0,11166,413.55555555555554,1390,416.23683470363665,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,27
104,20/12/2012,69,100055,11,0,10461,373.6071428571428,1373,377.5540519837023,3670,131.07142857142858,400,180.68469130492952,5265,188.03571428571428,800,302.5127462442064,2400,85.71428571428571,1008,247.29137966177964,28
310,31/12/1996,62,100056,11,0,24703,823.4333333333333,2400,457.57627465422286,2570,85.66666666666667,976,245.2741370361958,127,4.233333333333333,127,23.18692160105203,0,0.0,0,0.0,30
301,26/4/1977,62,100057,11,0,499,13.13157894736842,180,41.730908276092585,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,38
304,14/10/2014,62,100059,11,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,15
104,8/4/2002,69,10006,11,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5
104,7/1/2008,69,100060,11,0,7298,202.72222222222223,1094,242.48459286680003,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,36
312,11/5/2000,63,100061,11,0,10521,553.7368421052631,1751,502.7093087688023,608,32.0,392,100.23971268913331,0,0.0,0,0.0,0,0.0,0,0.0,19
101,22/5/2007,60,100062,11,0,4638,140.54545454545453,689,167.37665064703074,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,33
101,29/8/2016,60,100063,11,0,5421,677.625,2404,1064.6763341168862,100,12.5,100,35.35533905932738,0,0.0,0,0.0,0,0.0,0,0.0,8
104,13/5/2011,69,100064,11,0,8676,788.7272727272727,1600,347.87356637407527,2936,266.90909090909093,800,264.07781222414525,4000,363.6363636363636,1600,550.0413207618628,11542,1049.2727272727273,4561,1698.8616242006935,11
101,28/11/2011,60,100066,11,0,9948,552.6666666666666,800,288.92070966025994,2800,155.55555555555554,400,200.6525302818201,4582,254.55555555555551,800,364.6745885794013,9581,532.2777777777778,3222,1002.0051547099742,18
312,20/12/1990,63,100067,11,0,17939,512.5428571428571,1080,169.41913616082152,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,35
301,26/12/2014,62,100068,11,0,2421,201.75,800,252.8640040524838,88,7.333333333333333,88,25.403411844343537,0,0.0,0,0.0,0,0.0,0,0.0,12
309,29/11/2004,62,100069,11,0,3698,336.1818181818182,467,113.26060054742618,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,11
310,6/12/1993,62,100070,11,0,608,101.33333333333331,217,102.5468998393743,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6
301,16/5/1985,62,100071,11,0,25110,597.8571428571429,1200,169.93622497128527,371,8.833333333333334,229,41.12083126868476,0,0.0,0,0.0,0,0.0,0,0.0,42
301,26/11/1987,62,100072,11,0,32687,680.9791666666666,2418,500.955320961152,2444,50.916666666666664,736,135.0084053070256,242,5.041666666666667,242,34.92969128597237,0,0.0,0,0.0,48
312,7/4/2014,63,100074,11,0,6108,190.875,800,174.7404988418079,173,5.40625,173,30.582368286318182,0,0.0,0,0.0,0,0.0,0,0.0,32
101,13/9/2007,60,100075,11,0,777,45.705882352941174,488,119.58300710483616,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,17
311,11/11/1994,63,100076,11,0,17976,460.9230769230769,1200,309.8934778457527,542,13.897435897435898,400,66.65338261712597,750,19.23076923076923,750,120.09611535381536,0,0.0,0,0.0,39
301,17/10/1983,62,100077,11,0,20410,523.3333333333334,1411,248.4374678638399,524,13.435897435897436,332,57.506427499703705,0,0.0,0,0.0,0,0.0,0,0.0,39
101,16/2/2006,60,100078,11,0,22019,579.4473684210526,1200,267.9875649967506,1272,33.473684210526315,400,98.33141337502484,150,3.9473684210526314,110,18.82199312825443,0,0.0,0,0.0,38
101,16/5/2012,60,100079,11,0,12901,716.7222222222222,1498,398.71245802333107,1312,72.88888888888889,400,130.32036944703026,1,0.0555555555555555,1,0.2357022603955158,0,0.0,0,0.0,18
101,5/3/1977,60,100081,11,0,146,29.2,50,13.553597308463903,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5
301,19/12/1996,62,100082,11,0,27472,722.9473684210526,1329,236.62651005996327,1520,40.0,819,147.8284250177997,0,0.0,0,0.0,0,0.0,0,0.0,38
