id,cons_level_1_sum,cons_level_1_mean,cons_level_1_max,cons_level_1_std,cons_level_2_sum,cons_level_2_mean,cons_level_2_max,cons_level_2_std,cons_level_3_sum,cons_level_3_mean,cons_level_3_max,cons_level_3_std,cons_level_4_sum,cons_level_4_mean,cons_level_4_max,cons_level_4_std,num_invoices
0,12334,352.4,1200,310.34347196007724,370,10.571428571428571,186,43.568935043679176,0,0.0,0,0.0,0,0.0,0,0.0,35
1,20629,557.5405405405405,1207,197.93595970450684,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,37
10,14375,798.6111111111111,2400,513.841373885307,682,37.888888888888886,682,160.7489415897418,0,0.0,0,0.0,0,0.0,0,0.0,18
12,5724,357.75,925,232.9089951032377,1740,108.75,422,150.3291943258749,266,16.625,266,66.5,0,0.0,0,0.0,16
100,24,1.2,15,3.6070107174486568,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,20
102,17140,428.5,845,174.76607075510822,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,40
103,3395,282.9166666666667,660,239.75838532433715,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,12
104,4964,165.46666666666667,459,155.17970302164215,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,30
105,2810,216.15384615384616,570,239.8756087898636,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,13
106,9074,412.45454545454544,2400,481.4042680160504,333,15.136363636363637,333,70.99583854641828,0,0.0,0,0.0,0,0.0,0,0.0,22
107,26169,623.0714285714286,1792,408.6712790076081,2055,48.92857142857143,400,130.89530220513194,2725,64.88095238095238,800,203.91057370171742,19,0.4523809523809524,19,2.931763649279746,42
108,4069,1017.25,2000,927.547797510547,1513,378.25,800,438.20723788332543,640,160.0,640,320.0,0,0.0,0,0.0,4
109,6,1.2,6,2.6832815729997477,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5
110,2558,365.42857142857144,1250,426.1004799898952,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,7
112,4175,208.75,956,291.42460882976053,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,20
114,10911,839.3076923076923,2209,577.2266141668833,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,13
117,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3
119,1847,307.8333333333333,463,167.06336123359503,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6
120,21777,558.3846153846154,1200,376.31500070696757,3798,97.38461538461539,1391,274.8035293752339,2400,61.53846153846154,800,215.9622099196068,3403,87.25641025641026,1538,316.57024812401585,39
122,6122,244.88,759,141.41025422507377,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,25
124,14755,491.8333333333333,1600,338.65230703107767,2353,78.43333333333334,800,191.19004506860009,3359,111.96666666666667,1600,336.83910856293284,266,8.866666666666667,199,37.93436557995959,30
126,23308,932.32,2400,366.12551581845986,28418,1136.72,6021,1557.987524554246,11963,478.52,800,373.75739903489983,10670,426.8,2077,615.291326662961,25
127,38642,772.84,2400,429.5497101260664,6080,121.6,800,231.43033509028155,4740,94.8,1001,229.6216053263566,0,0.0,0,0.0,50
1000,9292,663.7142857142857,800,224.83136537668148,1468,104.85714285714286,400,167.15532028296644,1643,117.35714285714286,800,289.43329433244526,514,36.714285714285715,382,105.42108136233661,14
1001,6365,374.4117647058824,1353,361.59370480269865,144,8.470588235294118,139,33.65842696684373,0,0.0,0,0.0,0,0.0,0,0.0,17
1002,7407,493.8,800,336.46613075145785,747,49.8,287,105.83018742980931,0,0.0,0,0.0,0,0.0,0,0.0,15
1003,7253,659.3636363636364,800,135.47123143108485,1283,116.63636363636364,400,165.07469383722795,435,39.54545454545455,435,131.15743489132717,0,0.0,0,0.0,11
1005,13664,569.3333333333334,2246,529.4327289587919,2895,120.625,1300,283.50167739707734,787,32.791666666666664,472,113.48280052277858,0,0.0,0,0.0,24
1006,7977,498.5625,800,241.26913568323104,325,20.3125,254,64.78448245271908,0,0.0,0,0.0,0,0.0,0,0.0,16
1008,3715,168.86363636363637,559,193.9612861358692,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,22
1009,2112,44.0,844,129.00849386517814,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,48
1010,250,41.666666666666664,247,100.599536115564,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6
1012,1548,119.07692307692308,596,164.31598701813402,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,13
1013,13025,434.1666666666667,1750,388.18579655067,1122,37.4,794,154.9256996556514,0,0.0,0,0.0,0,0.0,0,0.0,30
1014,422,105.5,122,24.569628948493843,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4
1020,13364,318.1904761904762,693,148.36659246859895,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,42
1021,4157,159.8846153846154,542,156.554738522493,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,26
1022,4886,977.2,2485,878.3761722633418,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5
1023,1999,58.794117647058826,190,57.41437862974993,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,34
1028,16174,521.741935483871,2400,487.65438360529714,1943,62.67741935483871,1200,227.04087548233457,621,20.032258064516128,389,80.14673371218058,0,0.0,0,0.0,31
1029,13580,399.4117647058824,997,289.45289224171603,454,13.352941176470589,200,45.144134390585265,59,1.7352941176470589,59,10.11841652340802,0,0.0,0,0.0,34
1030,11125,556.25,1600,379.2298115918631,2995,149.75,800,230.54166765753166,2400,120.0,781,237.9902695932181,0,0.0,0,0.0,20
1032,10640,380.0,854,249.70723598587148,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,28
1033,4804,686.2857142857143,1600,516.0561062151138,1675,239.28571428571428,800,302.56498711610936,1457,208.14285714285714,800,357.860507540498,175,25.0,175,66.14378277661476,7
1034,9597,199.9375,792,212.74371818613017,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,48
1035,9735,314.03225806451616,800,299.8559080481788,2282,73.61290322580645,400,154.0064235498755,2207,71.19354838709677,800,209.80108346635373,633,20.419354838709676,507,93.09485277341184,31
1036,1623,162.3,1386,430.78224713240496,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,10
1037,1457,39.37837837837838,200,68.09117717008868,69,1.864864864864865,45,8.287078838509725,0,0.0,0,0.0,0,0.0,0,0.0,37
1039,21521,694.2258064516129,4000,1005.2191704524747,20084,647.8709677419355,4072,1073.1474500097204,800,25.806451612903224,800,143.68424162141994,258,8.32258064516129,258,46.33816792290792,31
1041,11082,410.44444444444446,817,179.09609224215433,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,27
1042,16279,452.19444444444446,1600,334.5231847138717,2387,66.30555555555556,463,129.67075216969312,0,0.0,0,0.0,0,0.0,0,0.0,36
1043,5600,373.3333333333333,800,183.09508328682537,2800,186.66666666666666,400,91.54754164341269,5600,373.3333333333333,800,183.09508328682537,102746,6849.733333333334,21452,8007.455931520205,15
1044,13101,262.02,959,198.3172566513421,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,50
1046,10722,369.7241379310345,1652,443.3196924948119,48,1.6551724137931034,48,8.913376232498491,0,0.0,0,0.0,0,0.0,0,0.0,29
1048,17983,781.8695652173913,2335,547.8655528791901,1432,62.26086956521739,508,145.44296520107878,0,0.0,0,0.0,0,0.0,0,0.0,23
1049,13123,354.6756756756757,1200,273.13885907416454,296,8.0,296,48.66210024238577,0,0.0,0,0.0,0,0.0,0,0.0,37
1050,15813,564.75,3600,791.300646380984,2306,82.35714285714286,2259,426.6742372840253,0,0.0,0,0.0,0,0.0,0,0.0,28
1051,20846,631.6969696969697,1841,347.2909879381126,354,10.727272727272727,182,37.73946270754985,0,0.0,0,0.0,0,0.0,0,0.0,33
1053,10713,345.5806451612903,1200,419.64943895220836,447,14.419354838709678,255,53.70709089964961,0,0.0,0,0.0,0,0.0,0,0.0,31
1055,13730,722.6315789473684,8000,1843.9962102433433,1600,84.21052631578948,800,252.24141411384463,3200,168.42105263157896,1600,504.48282822768925,23024,1211.7894736842106,22215,5089.534278835205,19
1056,8113,450.72222222222223,800,292.2236865939104,2000,111.11111111111111,400,177.39682631582815,1068,59.333333333333336,525,145.52016233862173,0,0.0,0,0.0,18
1057,734,244.66666666666666,332,75.63288526384098,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3
1059,17734,738.9166666666666,1341,313.3105025601483,741,30.875,219,67.0251818348895,0,0.0,0,0.0,0,0.0,0,0.0,24
1060,10235,276.6216216216216,748,251.92044063237188,5,0.13513513513513514,5,0.8219949365267865,0,0.0,0,0.0,0,0.0,0,0.0,37
1061,14771,301.44897959183675,772,224.9400902855849,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,49
1062,8948,470.94736842105266,838,175.77810307449514,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,19
1064,25379,704.9722222222222,1200,252.44003374053145,6145,170.69444444444446,464,189.57001261417815,6614,183.72222222222223,800,310.26934023854744,3463,96.19444444444444,1079,241.5156687545722,36
1066,9110,379.5833333333333,1600,353.4135300019027,589,24.541666666666668,400,88.77572091055305,800,33.333333333333336,800,163.29931618554522,361,15.041666666666666,361,73.68881642872726,24
1067,28777,872.030303030303,1914,342.79881899305065,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,33
1069,10226,352.62068965517244,2400,499.7780517241846,1406,48.48275862068966,1194,221.52226922715195,0,0.0,0,0.0,0,0.0,0,0.0,29
